ID do Frame,Quadril Esquerdo,Joelho Esquerdo,Tornozelo Esquerdo,Ângulo
122,"[0.5051829814910889, 0.5159196853637695]","[0.514283299446106, 0.6913269758224487]","[0.502257227897644, 0.8636499047279358]",173.03801142160108
123,"[0.5035109519958496, 0.5160081386566162]","[0.515011191368103, 0.6908342242240906]","[0.5025092959403992, 0.8630812168121338]",172.08512948144934
124,"[0.5010430216789246, 0.5170757174491882]","[0.5149967074394226, 0.691743791103363]","[0.5029516816139221, 0.8634313941001892]",171.41941537951502
125,"[0.49918538331985474, 0.5188211798667908]","[0.5155752897262573, 0.691874623298645]","[0.50327068567276, 0.864494264125824]",170.51241171049915
126,"[0.498823881149292, 0.5229505896568298]","[0.5186780691146851, 0.6919795274734497]","[0.5065525770187378, 0.8644803166389465]",169.2798750159689
127,"[0.49715185165405273, 0.5265064239501953]","[0.5201785564422607, 0.6920654773712158]","[0.5064256191253662, 0.8634456396102905]",167.49379245676155
128,"[0.4958368241786957, 0.5271164178848267]","[0.5217286348342896, 0.6928523778915405]","[0.5069674253463745, 0.861498236656189]",166.1186086988361
129,"[0.4952598512172699, 0.5269478559494019]","[0.5224560499191284, 0.6932400465011597]","[0.5069833993911743, 0.8604365587234497]",165.42461863477988
130,"[0.4948776364326477, 0.5278170108795166]","[0.5223380923271179, 0.6939951777458191]","[0.5079547762870789, 0.8603746294975281]",165.67596272534638
131,"[0.49471601843833923, 0.5280168056488037]","[0.5220159292221069, 0.6940150260925293]","[0.5084189772605896, 0.8600007891654968]",165.9777833969988
132,"[0.49387359619140625, 0.5285298824310303]","[0.5217942595481873, 0.6941278576850891]","[0.5089038014411926, 0.8595162034034729]",165.97299486282287
133,"[0.49290698766708374, 0.5293792486190796]","[0.5217676758766174, 0.6942760944366455]","[0.5092905163764954, 0.8594274520874023]",165.75201390099818
134,"[0.492635577917099, 0.5309000611305237]","[0.5217259526252747, 0.6947595477104187]","[0.5092626810073853, 0.8592425584793091]",165.59987047109138
135,"[0.4923381805419922, 0.5316766500473022]","[0.521652102470398, 0.6948162913322449]","[0.5093511343002319, 0.8593326210975647]",165.5373720427369
136,"[0.4924083352088928, 0.5325106382369995]","[0.5215098857879639, 0.6953637599945068]","[0.5093439817428589, 0.8596737384796143]",165.63370308285388
137,"[0.49226802587509155, 0.53433758020401]","[0.521405041217804, 0.6965523362159729]","[0.5093332529067993, 0.8598865270614624]",165.59015558943835
138,"[0.49204832315444946, 0.5351592302322388]","[0.521332323551178, 0.6967476010322571]","[0.5093213319778442, 0.8598959445953369]",165.51748237042358
139,"[0.4921681880950928, 0.5350187420845032]","[0.5212869048118591, 0.6973421573638916]","[0.5095714330673218, 0.8592703938484192]",165.69192127165337
140,"[0.49227219820022583, 0.5349528193473816]","[0.52128666639328, 0.6982203722000122]","[0.5097678303718567, 0.8588656187057495]",165.82180919751235
141,"[0.49230441451072693, 0.5349537134170532]","[0.5212916135787964, 0.699242889881134]","[0.5097435712814331, 0.858797013759613]",165.8540382806264
142,"[0.4924634099006653, 0.534988284111023]","[0.52129065990448, 0.6997347474098206]","[0.5097443461418152, 0.8588714599609375]",165.92501825281752
143,"[0.49266624450683594, 0.5350028276443481]","[0.5213521122932434, 0.6997915506362915]","[0.5097381472587585, 0.858793318271637]",165.94745874779892
144,"[0.4929076135158539, 0.5350232124328613]","[0.5213779807090759, 0.6997777819633484]","[0.509689211845398, 0.8587571978569031]",165.9908060459782
145,"[0.4932984411716461, 0.535050094127655]","[0.5214100480079651, 0.6998093128204346]","[0.5096475481987, 0.8587174415588379]",166.08394464831687
146,"[0.49358925223350525, 0.5351522564888]","[0.5216283798217773, 0.6999039053916931]","[0.5095930099487305, 0.8587339520454407]",166.00804466360162
147,"[0.4941273331642151, 0.5351421236991882]","[0.5219042897224426, 0.6998988389968872]","[0.5095299482345581, 0.8590176701545715]",165.98345673095716
148,"[0.49413198232650757, 0.5351751446723938]","[0.5222421884536743, 0.6999304294586182]","[0.5091708302497864, 0.859296441078186]",165.62858720777405
149,"[0.4943591058254242, 0.5352522134780884]","[0.5226514935493469, 0.6993004083633423]","[0.5087215304374695, 0.8591864705085754]",165.2355241318086
150,"[0.49438509345054626, 0.5352999567985535]","[0.5229183435440063, 0.6991358399391174]","[0.5078299641609192, 0.8614608645439148]",164.81011940571966
151,"[0.4951339364051819, 0.5357279181480408]","[0.5230073928833008, 0.6991552114486694]","[0.5071965456008911, 0.8639538288116455]",164.84080507449315
152,"[0.49556055665016174, 0.5359460115432739]","[0.5230993032455444, 0.6988614797592163]","[0.5065555572509766, 0.8648231625556946]",164.7129139152616
153,"[0.4961647093296051, 0.5353238582611084]","[0.5230925679206848, 0.6971758604049683]","[0.506384551525116, 0.8651794195175171]",164.8746187261408
154,"[0.4961387515068054, 0.5315837264060974]","[0.5170003771781921, 0.6952803134918213]","[0.5014471411705017, 0.8670493364334106]",167.56345472126256
155,"[0.49647313356399536, 0.5259736180305481]","[0.5093560218811035, 0.6954981684684753]","[0.4984293580055237, 0.8703891038894653]",172.0791814831327
156,"[0.497119277715683, 0.518792986869812]","[0.5035586357116699, 0.6935253739356995]","[0.4987899661064148, 0.8710917234420776]",176.35110285288997
157,"[0.49735695123672485, 0.5182300209999084]","[0.5031776428222656, 0.6938735246658325]","[0.4991866946220398, 0.8713515400886536]",176.81376311888664
158,"[0.4973628520965576, 0.5155693888664246]","[0.5046480894088745, 0.6948343515396118]","[0.4994557499885559, 0.8713332414627075]",175.98773703763777
159,"[0.4981088638305664, 0.5153419375419617]","[0.5024317502975464, 0.6970763802528381]","[0.49939021468162537, 0.8715169429779053]",177.63846724024148
160,"[0.4987433850765228, 0.5164219737052917]","[0.5030878186225891, 0.6989063024520874]","[0.4989972710609436, 0.8717671036720276]",177.28062360529296
161,"[0.4993991255760193, 0.5171647071838379]","[0.5039238929748535, 0.70074862241745]","[0.49910420179367065, 0.8729519248008728]",176.98492725897592
162,"[0.5023118257522583, 0.5171636939048767]","[0.504418134689331, 0.7007095217704773]","[0.4989990293979645, 0.8728870749473572]",177.5397935663736
163,"[0.5042538046836853, 0.5174840092658997]","[0.5046109557151794, 0.700028657913208]","[0.4989336133003235, 0.8700599074363708]",177.975504943489
164,"[0.5042322874069214, 0.5176240801811218]","[0.5049155354499817, 0.7003991603851318]","[0.4983285367488861, 0.8695065975189209]",177.55518606696532
165,"[0.5025244951248169, 0.5177497267723083]","[0.5049746632575989, 0.7003878951072693]","[0.4970405101776123, 0.8678655624389648]",176.51907408254615
166,"[0.5011347532272339, 0.5176647901535034]","[0.5056060552597046, 0.6982138752937317]","[0.49562233686447144, 0.8635842204093933]",175.12649821148037
167,"[0.49988260865211487, 0.517727255821228]","[0.5052701830863953, 0.6929681301116943]","[0.49506115913391113, 0.8576326370239258]",174.69132710857573
168,"[0.49933916330337524, 0.5178035497665405]","[0.5037460923194885, 0.6903164982795715]","[0.49528107047080994, 0.8581447005271912]",175.64919637266655
169,"[0.49944478273391724, 0.5184141993522644]","[0.5027438998222351, 0.6904903650283813]","[0.49677419662475586, 0.8569804430007935]",176.8481058771487
170,"[0.5005685687065125, 0.5170103311538696]","[0.5028589367866516, 0.6901406049728394]","[0.498169481754303, 0.8587414026260376]",177.64885769860942
171,"[0.5026308298110962, 0.516663670539856]","[0.5033401250839233, 0.6873066425323486]","[0.5003253221511841, 0.8589953184127808]",178.7558517592696
172,"[0.5048454999923706, 0.5151920914649963]","[0.5037366151809692, 0.6874294877052307]","[0.5002702474594116, 0.8605191707611084]",179.22159560857864
173,"[0.509127676486969, 0.5138359665870667]","[0.5064336657524109, 0.687634289264679]","[0.5015714764595032, 0.8637141585350037]",179.30632093193324
174,"[0.5108344554901123, 0.5102964043617249]","[0.507788896560669, 0.6879252195358276]","[0.5024845004081726, 0.8670075535774231]",179.2856785901216
175,"[0.5119568109512329, 0.5100612044334412]","[0.5087364912033081, 0.6881154775619507]","[0.503424882888794, 0.8682041764259338]",179.34673327689393
176,"[0.5141246914863586, 0.5103621482849121]","[0.5106443762779236, 0.688201904296875]","[0.5068060159683228, 0.8709923624992371]",179.9181728894123
177,"[0.518631100654602, 0.5089277029037476]","[0.5154373049736023, 0.6856232285499573]","[0.5121400356292725, 0.8706642985343933]",179.98533617612952
178,"[0.5204347968101501, 0.5091986656188965]","[0.5183848142623901, 0.6859680414199829]","[0.5174406170845032, 0.874391496181488]",179.62268343946945
179,"[0.5231214761734009, 0.5089774131774902]","[0.5207533836364746, 0.6861986517906189]","[0.5212422609329224, 0.8762537837028503]",179.08705804898514
180,"[0.5281569957733154, 0.5083538889884949]","[0.5232621431350708, 0.6878526210784912]","[0.525485634803772, 0.8805177211761475]",177.77675152974422
181,"[0.533320963382721, 0.5078665614128113]","[0.5269867777824402, 0.6878904700279236]","[0.5292201042175293, 0.8829883337020874]",177.32901694178767
182,"[0.5395182967185974, 0.5059662461280823]","[0.5305743217468262, 0.6890327334403992]","[0.5347234606742859, 0.8826040625572205]",175.9750283297878
183,"[0.5439794063568115, 0.5060479044914246]","[0.5360365509986877, 0.6896474361419678]","[0.5433419942855835, 0.8817988038063049]",175.34553160011586
184,"[0.5477593541145325, 0.5060797333717346]","[0.5412350296974182, 0.6902230978012085]","[0.5541859865188599, 0.8791943192481995]",174.05024108121526
185,"[0.5530542135238647, 0.5041646361351013]","[0.5465017557144165, 0.6902785897254944]","[0.5603613257408142, 0.8739331364631653]",173.6679669744721
186,"[0.5568676590919495, 0.5043528079986572]","[0.5496892333030701, 0.6911970973014832]","[0.5601360201835632, 0.8761540055274963]",174.56705756111347
